order_item_id,order_id,product_id,quantity
1,1,953,5
2,2,52,4
3,2,712,6
4,2,862,2
5,2,599,1
6,3,586,2
7,4,819,7
8,4,197,2
9,4,907,2
10,4,494,6
11,5,818,3
12,6,378,3
13,6,702,1
14,6,853,1
15,6,89,4
16,6,654,5
17,7,151,4
18,7,502,3
19,8,413,6
20,8,789,2
21,8,979,4
22,8,613,4
23,8,736,6
24,9,421,7
25,9,498,5
26,9,222,1
27,9,140,1
28,9,33,5
29,10,266,1
30,10,78,2
31,10,554,1
32,10,561,4
33,11,885,6
34,11,225,4
35,12,238,2
36,12,624,1
37,12,651,3
38,12,195,7
39,12,319,3
40,13,892,7
41,13,82,4
42,13,277,1
43,14,947,6
44,15,667,1
45,15,597,1
46,15,209,7
47,16,116,5
48,16,324,3
49,17,359,2
50,17,800,2
51,17,923,5
52,17,927,1
53,18,688,4
54,18,197,1
55,19,139,5
56,19,110,6
57,19,329,6
58,20,774,6
59,20,590,5
60,20,341,2
61,21,740,3
62,21,975,5
63,21,580,5
64,21,977,7
65,21,136,1
66,22,659,1
67,22,545,6
68,22,522,2
69,23,792,5
70,23,311,5
71,23,467,4
72,23,469,1
73,23,255,5
74,24,593,5
75,24,127,5
76,24,827,6
77,25,385,7
78,25,480,1
79,25,973,3
80,26,466,4
81,26,650,1
82,27,603,1
83,27,741,1
84,27,905,1
85,27,693,2
86,27,877,6
87,28,918,5
88,28,418,5
89,28,359,6
90,29,869,5
91,29,524,6
92,29,26,3
93,29,18,4
94,29,124,1
95,30,712,7
96,31,587,7
97,31,289,1
98,31,337,7
99,31,298,4
100,31,71,4
101,32,602,7
102,32,240,1
103,32,843,5
104,32,535,1
105,32,536,3
106,33,14,1
107,33,102,3
108,33,637,6
109,33,901,2
110,34,151,5
111,35,363,7
112,36,65,2
113,36,861,7
114,36,564,4
115,36,159,7
116,36,504,6
117,37,249,2
118,37,915,2
119,37,467,7
120,37,816,6
121,37,762,7
122,38,629,3
123,38,591,3
124,39,442,3
125,39,871,4
126,40,786,5
127,41,425,3
128,41,622,2
129,41,942,4
130,42,573,3
131,42,119,1
132,42,962,5
133,42,162,1
134,43,639,2
135,44,615,6
136,44,144,5
137,44,657,6
138,44,857,3
139,44,919,3
140,45,27,2
141,45,299,6
142,45,62,6
143,45,891,2
144,45,139,1
145,46,797,2
146,46,659,2
147,46,860,7
148,46,168,1
149,47,891,5
150,47,136,6
151,48,610,6
152,49,617,4
153,49,303,6
154,50,19,6
155,51,682,3
156,51,625,4
157,51,817,1
158,51,381,4
159,52,239,2
160,52,680,4
161,53,832,3
162,53,537,6
163,54,479,6
164,54,717,7
165,55,596,7
166,55,980,1
167,56,101,6
168,56,526,2
169,56,332,4
170,56,979,6
171,57,866,3
172,57,121,2
173,58,98,7
174,58,539,6
175,58,361,7
176,59,985,7
177,59,5,2
178,59,768,2
179,59,97,7
180,60,512,5
181,60,369,2
182,60,569,1
183,61,920,7
184,61,537,4
185,62,793,4
186,62,221,1
187,62,59,6
188,62,161,4
189,63,286,1
190,63,131,5
191,63,163,5
192,63,657,4
193,64,759,4
194,64,132,1
195,64,137,3
196,64,790,6
197,65,457,1
198,65,473,6
199,65,85,5
200,66,800,7
201,66,981,7
202,66,405,5
203,67,457,2
204,68,836,4
205,68,617,5
206,69,236,6
207,69,764,7
208,69,921,3
209,69,846,1
210,70,748,7
211,71,538,3
212,71,945,3
213,71,138,2
214,71,208,6
215,71,63,1
216,72,45,4
217,72,401,3
218,72,989,2
219,73,553,1
220,73,486,7
221,73,322,4
222,73,747,6
223,74,713,6
224,74,903,7
225,75,659,2
226,75,935,5
227,76,399,7
228,76,561,4
229,77,439,6
230,77,290,3
231,77,813,1
232,77,947,2
233,77,693,6
234,78,999,1
235,78,368,4
236,79,490,4
237,79,685,7
238,79,377,2
239,79,913,6
240,80,54,1
241,80,119,5
242,81,956,7
243,81,418,6
244,82,995,5
245,82,331,4
246,82,681,1
247,82,62,4
248,83,381,6
249,83,91,4
250,83,450,3
251,84,829,6
252,84,221,3
253,84,457,4
254,84,57,1
255,84,266,6
256,85,381,4
257,85,78,1
258,86,615,7
259,86,452,1
260,86,544,3
261,86,1,2
262,87,198,6
263,87,625,7
264,87,150,4
265,87,669,3
266,87,905,5
267,88,606,7
268,88,975,1
269,88,409,5
270,88,464,6
271,89,634,5
272,89,385,7
273,90,787,1
274,90,835,4
275,91,61,5
276,91,168,3
277,92,724,7
278,92,631,6
279,93,303,4
280,93,290,1
281,94,851,7
282,94,298,7
283,94,758,2
284,95,709,7
285,95,43,3
286,96,588,7
287,96,633,7
288,96,866,2
289,96,121,4
290,96,895,6
291,97,807,7
292,97,635,4
293,97,203,6
294,97,11,5
295,98,582,6
296,99,196,6
297,99,193,4
298,100,957,2
299,101,27,2
300,102,540,3
301,102,856,5
302,103,586,3
303,103,887,6
304,103,572,6
305,104,395,3
306,104,643,4
307,105,845,5
308,105,726,7
309,105,705,5
310,106,879,2
311,106,176,1
312,106,882,2
313,106,123,5
314,107,922,5
315,107,453,2
316,107,762,7
317,107,206,6
318,107,870,6
319,108,741,5
320,108,205,6
321,108,663,4
322,109,627,6
323,110,992,3
324,110,195,4
325,110,446,1
326,110,733,7
327,111,575,4
328,111,546,7
329,111,677,1
330,112,165,6
331,112,141,2
332,113,82,3
333,114,232,5
334,114,616,5
335,114,493,4
336,114,187,3
337,115,904,4
338,115,637,4
339,115,685,7
340,115,276,3
341,116,888,7
342,117,239,4
343,117,452,6
344,117,639,3
345,117,256,5
346,118,230,7
347,118,691,1
348,119,451,4
349,120,508,6
350,120,535,5
351,120,229,7
352,121,174,7
353,121,400,7
354,121,650,3
355,121,706,2
356,121,198,5
357,122,527,3
358,122,282,5
359,122,319,6
360,123,961,2
361,124,935,3
362,125,101,5
363,125,764,5
364,125,430,4
365,125,293,6
366,125,696,3
367,126,122,5
368,126,701,7
369,127,419,3
370,127,510,1
371,128,238,7
372,128,546,6
373,129,287,3
374,129,117,2
375,130,801,3
376,131,687,6
377,131,636,4
378,131,463,7
379,132,201,5
380,132,674,3
381,132,374,6
382,132,180,7
383,132,37,2
384,133,696,2
385,133,793,7
386,133,653,7
387,133,573,6
388,133,811,6
389,134,351,2
390,134,20,6
391,134,693,1
392,134,47,4
393,134,750,3
394,135,120,2
395,135,80,6
396,135,988,7
397,136,165,3
398,136,80,3
399,136,349,5
400,136,580,4
401,136,545,5
402,137,382,4
403,137,195,3
404,137,773,5
405,137,623,2
406,138,991,6
407,138,463,2
408,138,448,4
409,139,69,2
410,140,515,2
411,140,172,7
412,140,45,6
413,141,535,1
414,141,291,5
415,142,34,1
416,142,935,1
417,142,60,3
418,142,639,4
419,143,438,6
420,143,48,4
421,143,857,2
422,144,25,4
423,144,892,5
424,144,255,1
425,145,16,2
426,145,83,6
427,145,563,2
428,145,567,2
429,145,715,2
430,146,949,6
431,146,955,7
432,146,917,3
433,147,892,1
434,147,542,3
435,147,64,4
436,147,29,3
437,148,663,4
438,148,952,4
439,148,204,5
440,148,54,1
441,149,661,1
442,149,150,5
443,149,428,5
444,150,225,5
445,150,509,1
446,150,165,6
447,150,208,5
448,150,891,1
449,151,890,2
450,151,819,2
451,152,498,2
452,152,265,3
453,152,902,1
454,152,671,7
455,153,926,7
456,153,835,5
457,153,151,4
458,153,270,3
459,154,153,2
460,154,678,3
461,154,165,6
462,155,828,4
463,155,351,3
464,155,38,1
465,155,709,2
466,155,525,2
467,156,115,3
468,156,899,1
469,156,563,7
470,156,352,2
471,156,316,1
472,157,327,6
473,157,719,4
474,158,762,1
475,158,643,2
476,159,922,6
477,159,29,7
478,159,751,6
479,160,519,4
480,160,410,1
481,160,137,2
482,160,654,2
483,161,184,1
484,162,474,6
485,162,869,3
486,162,295,5
487,162,40,6
488,162,176,3
489,163,64,3
490,163,7,2
491,163,257,6
492,163,706,2
493,164,810,1
494,164,978,4
495,165,922,5
496,166,415,2
497,166,946,4
498,166,448,6
499,167,829,1
500,167,607,6
501,168,64,1
502,168,125,7
503,169,371,1
504,169,496,7
505,170,134,4
506,170,613,2
507,170,195,2
508,170,73,4
509,171,273,6
510,171,136,1
511,172,538,7
512,173,771,6
513,173,336,2
514,173,136,4
515,173,617,6
516,174,113,5
517,174,750,2
518,174,582,2
519,174,526,7
520,175,120,5
521,175,171,6
522,175,523,4
523,175,742,4
524,175,129,6
525,176,678,2
526,176,662,5
527,176,151,7
