customer_id,customer_name,city,segment
1,Customer_1,Hyderabad,Home Office
2,Customer_2,Mumbai,Consumer
3,Customer_3,Delhi,Consumer
4,Customer_4,Pune,Consumer
5,Customer_5,Bangalore,Corporate
6,Customer_6,Chennai,Consumer
7,Customer_7,Delhi,Home Office
8,Customer_8,Bangalore,Consumer
9,Customer_9,Pune,Home Office
10,Customer_10,Bangalore,Corporate
11,Customer_11,Hyderabad,Home Office
12,Customer_12,Hyderabad,Corporate
13,Customer_13,Pune,Corporate
14,Customer_14,Kolkata,Home Office
15,Customer_15,Hyderabad,Home Office
16,Customer_16,Mumbai,Corporate
17,Customer_17,Kolkata,Home Office
18,Customer_18,Pune,Consumer
19,Customer_19,Delhi,Consumer
20,Customer_20,Bangalore,Corporate
21,Customer_21,Mumbai,Consumer
22,Customer_22,Kolkata,Consumer
23,Customer_23,Hyderabad,Consumer
24,Customer_24,Kolkata,Home Office
25,Customer_25,Mumbai,Home Office
26,Customer_26,Pune,Home Office
27,Customer_27,Pune,Home Office
28,Customer_28,Hyderabad,Corporate
29,Customer_29,Delhi,Consumer
30,Customer_30,Chennai,Consumer
31,Customer_31,Pune,Corporate
32,Customer_32,Hyderabad,Corporate
33,Customer_33,Pune,Corporate
34,Customer_34,Chennai,Consumer
35,Customer_35,Chennai,Consumer
36,Customer_36,Bangalore,Home Office
37,Customer_37,Mumbai,Corporate
38,Customer_38,Mumbai,Corporate
39,Customer_39,Mumbai,Home Office
40,Customer_40,Mumbai,Corporate
41,Customer_41,Hyderabad,Home Office
42,Customer_42,Chennai,Consumer
43,Customer_43,Delhi,Corporate
44,Customer_44,Chennai,Corporate
45,Customer_45,Mumbai,Corporate
46,Customer_46,Pune,Consumer
47,Customer_47,Hyderabad,Consumer
48,Customer_48,Delhi,Corporate
49,Customer_49,Chennai,Home Office
50,Customer_50,Chennai,Home Office
51,Customer_51,Kolkata,Consumer
52,Customer_52,Bangalore,Corporate
53,Customer_53,Mumbai,Home Office
54,Customer_54,Mumbai,Home Office
55,Customer_55,Chennai,Consumer
56,Customer_56,Pune,Consumer
57,Customer_57,Bangalore,Consumer
58,Customer_58,Chennai,Consumer
59,Customer_59,Pune,Home Office
60,Customer_60,Bangalore,Consumer
61,Customer_61,Kolkata,Consumer
62,Customer_62,Mumbai,Consumer
63,Customer_63,Kolkata,Home Office
64,Customer_64,Kolkata,Consumer
65,Customer_65,Kolkata,Consumer
66,Customer_66,Hyderabad,Corporate
67,Customer_67,Chennai,Corporate
68,Customer_68,Pune,Corporate
69,Customer_69,Mumbai,Home Office
70,Customer_70,Bangalore,Corporate
71,Customer_71,Chennai,Home Office
72,Customer_72,Kolkata,Corporate
73,Customer_73,Hyderabad,Consumer
74,Customer_74,Chennai,Corporate
75,Customer_75,Pune,Consumer
76,Customer_76,Chennai,Home Office
77,Customer_77,Bangalore,Corporate
78,Customer_78,Kolkata,Corporate
79,Customer_79,Delhi,Home Office
80,Customer_80,Bangalore,Home Office
81,Customer_81,Bangalore,Corporate
82,Customer_82,Pune,Home Office
83,Customer_83,Bangalore,Consumer
84,Customer_84,Bangalore,Home Office
85,Customer_85,Delhi,Corporate
86,Customer_86,Mumbai,Corporate
87,Customer_87,Delhi,Home Office
88,Customer_88,Pune,Home Office
89,Customer_89,Bangalore,Consumer
90,Customer_90,Mumbai,Home Office
91,Customer_91,Chennai,Corporate
92,Customer_92,Chennai,Home Office
93,Customer_93,Chennai,Consumer
94,Customer_94,Pune,Consumer
95,Customer_95,Pune,Consumer
96,Customer_96,Mumbai,Corporate
97,Customer_97,Mumbai,Home Office
98,Customer_98,Hyderabad,Corporate
99,Customer_99,Kolkata,Home Office
100,Customer_100,Chennai,Consumer
101,Customer_101,Chennai,Consumer
102,Customer_102,Pune,Corporate
103,Customer_103,Delhi,Corporate
104,Customer_104,Bangalore,Corporate
105,Customer_105,Bangalore,Corporate
106,Customer_106,Bangalore,Consumer
107,Customer_107,Hyderabad,Corporate
108,Customer_108,Chennai,Consumer
109,Customer_109,Hyderabad,Consumer
110,Customer_110,Chennai,Home Office
111,Customer_111,Delhi,Corporate
112,Customer_112,Pune,Consumer
113,Customer_113,Hyderabad,Home Office
114,Customer_114,Pune,Consumer
115,Customer_115,Kolkata,Corporate
116,Customer_116,Bangalore,Home Office
117,Customer_117,Hyderabad,Corporate
118,Customer_118,Delhi,Home Office
119,Customer_119,Delhi,Home Office
120,Customer_120,Hyderabad,Corporate
121,Customer_121,Kolkata,Corporate
122,Customer_122,Chennai,Home Office
123,Customer_123,Hyderabad,Consumer
124,Customer_124,Bangalore,Consumer
125,Customer_125,Hyderabad,Consumer
126,Customer_126,Chennai,Home Office
127,Customer_127,Bangalore,Consumer
128,Customer_128,Delhi,Corporate
129,Customer_129,Mumbai,Home Office
130,Customer_130,Kolkata,Consumer
131,Customer_131,Chennai,Consumer
132,Customer_132,Kolkata,Consumer
133,Customer_133,Bangalore,Home Office
134,Customer_134,Delhi,Corporate
135,Customer_135,Mumbai,Consumer
136,Customer_136,Bangalore,Consumer
137,Customer_137,Pune,Consumer
138,Customer_138,Hyderabad,Home Office
139,Customer_139,Hyderabad,Corporate
140,Customer_140,Bangalore,Home Office
141,Customer_141,Bangalore,Consumer
142,Customer_142,Chennai,Home Office
143,Customer_143,Pune,Consumer
144,Customer_144,Bangalore,Corporate
145,Customer_145,Mumbai,Home Office
146,Customer_146,Hyderabad,Consumer
147,Customer_147,Chennai,Corporate
148,Customer_148,Kolkata,Consumer
149,Customer_149,Kolkata,Corporate
150,Customer_150,Kolkata,Corporate
151,Customer_151,Kolkata,Corporate
152,Customer_152,Pune,Consumer
153,Customer_153,Bangalore,Consumer
154,Customer_154,Mumbai,Consumer
155,Customer_155,Delhi,Consumer
156,Customer_156,Kolkata,Corporate
157,Customer_157,Mumbai,Corporate
158,Customer_158,Delhi,Consumer
159,Customer_159,Delhi,Consumer
160,Customer_160,Bangalore,Corporate
161,Customer_161,Kolkata,Home Office
162,Customer_162,Mumbai,Home Office
163,Customer_163,Delhi,Home Office
164,Customer_164,Pune,Consumer
165,Customer_165,Delhi,Corporate
166,Customer_166,Chennai,Corporate
167,Customer_167,Delhi,Consumer
168,Customer_168,Delhi,Home Office
169,Customer_169,Bangalore,Consumer
170,Customer_170,Delhi,Corporate
171,Customer_171,Hyderabad,Consumer
172,Customer_172,Pune,Consumer
173,Customer_173,Kolkata,Consumer
